subj mask brik val
11340_20141031 dlpfc_right+tlrc. 0 89.732445
11348_20141119 dlpfc_right+tlrc. 0 8.701317
11351_20141202 dlpfc_right+tlrc. 1 31.947468
11354_20141205 dlpfc_right+tlrc. 0 78.963005
11355_20141230 dlpfc_right+tlrc. 1 52.412819
11357_20150122 dlpfc_right+tlrc. 0 28.778959
11358_20150129 dlpfc_right+tlrc. 0 58.172371
11363_20150310 dlpfc_right+tlrc. 1 31.483643
11368_20150505 dlpfc_right+tlrc. 1 38.164028
11386_20150619 dlpfc_right+tlrc. 1 22.534269
11407_20150716 dlpfc_right+tlrc. 0 28.079077
11418_20151201 dlpfc_right+tlrc. 1 55.379299
11423_20150916 dlpfc_right+tlrc. 0 43.232498
11432_20150922 dlpfc_right+tlrc. 1 56.127037
11433_20150924 dlpfc_right+tlrc. 0 30.390373
11454_20151019 dlpfc_right+tlrc. 1 68.386688
11466_20151125 dlpfc_right+tlrc. 1 28.468809
11473_20151217 dlpfc_right+tlrc. 0 42.925552
11476_20151219 dlpfc_right+tlrc. 0 43.370689
11477_20160108 dlpfc_right+tlrc. 0 29.557886
11479_20160108 dlpfc_right+tlrc. 1 64.041298
11483_20160128 dlpfc_right+tlrc. 0 31.447868
11485_20160112 dlpfc_right+tlrc. 0 57.367546
11505_20160216 dlpfc_right+tlrc. 0 31.033543
11523_20160329 dlpfc_right+tlrc. 1 27.076777
11532_20160413 dlpfc_right+tlrc. 0 31.735966
11534_20160418 dlpfc_right+tlrc. 0 18.090637
11539_20160430 dlpfc_right+tlrc. 1 52.118397
11545_20160518 dlpfc_right+tlrc. 0 60.390106
11552_20160611 dlpfc_right+tlrc. 1 19.465147
11563_20160718 dlpfc_right+tlrc. 1 46.537125
11567_20160805 dlpfc_right+tlrc. 1 48.656933
11572_20160819 dlpfc_right+tlrc. 0 54.842098
11580_20161021 dlpfc_right+tlrc. 0 57.879910
11585_20161203 dlpfc_right+tlrc. 0 38.663612
11587_20161207 dlpfc_right+tlrc. 1 13.670953
11590_20161221 dlpfc_right+tlrc. 0 41.589924
11593_20170106 dlpfc_right+tlrc. 0 19.923176
11594_20170111 dlpfc_right+tlrc. 1 32.613705
11596_20170125 dlpfc_right+tlrc. 0 33.589890
11601_20170221 dlpfc_right+tlrc. 0 48.141781
11604_20170317 dlpfc_right+tlrc. 1 12.211842
11614_20170711 dlpfc_right+tlrc. 1 50.510052
11591_20170103 dlpfc_right+tlrc. 1 23.573078
