RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,0.5,0,1,NaN
0.6323,1,2,0.5,1,1,1
0.61421,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
0.6625,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.73384,1,2,0.5,1,2,2
0.59435,1,2,0.5,1,1,1
0.40418,1,2,0.5,1,2,2
0.7362,1,2,0.5,1,1,1
0.51435,1,2,0.5,0,2,1
0.50954,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.49824,1,2,0.5,0,2,1
0.50627,1,2,0.5,1,2,2
0.50208,1,2,0.5,0,2,1
0.59394,1,2,0.5,1,1,1
0.43987,1,2,0.5,0,1,2
0.50193,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.552,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.64346,1,3,0.5,0,1,2
0.44203,1,3,0.5,0,1,2
0.49798,1,3,0.5,0,2,1
0.48722,1,3,0.5,0,2,1
0.5433,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.37741,1,3,0.5,0,1,2
0.59765,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.47972,1,3,0.5,1,2,2
0.50558,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.47553,1,3,0.5,0,2,1
0.99139,1,3,0.5,1,1,1
0.61574,1,3,0.5,1,1,1
0.75747,1,3,0.5,1,1,1
0.54949,1,3,0.5,1,2,2
0.54843,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.58089,1,3,0.5,0,2,1
0.651,1,1,0.5,0,1,2
0.45261,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,1,NaN
0.46209,1,1,0.5,0,1,2
0.50478,1,1,0.5,1,1,1
0.46096,1,1,0.5,1,2,2
0.51449,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.48476,1,1,0.5,1,2,2
0.47289,1,1,0.5,0,2,1
0.4863,1,1,0.5,1,2,2
0.75028,1,1,0.5,1,1,1
0.48289,1,1,0.5,1,2,2
0.53228,1,1,0.5,0,2,1
0.48475,0,1,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.70708,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,1,0.5,0,1,NaN
0.65028,1,1,0.5,0,1,2
0.7667,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
0.51761,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.55199,1,1,0.5,0,2,1
0.75595,1,1,0.5,1,1,1
0.53981,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.57186,1,1,0.5,0,1,2
0.43157,1,1,0.5,0,1,2
0.56941,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.38777,1,1,0.5,0,1,2
0.50138,1,1,0.5,1,2,2
0.57177,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.58109,1,1,0.5,1,2,2
0.44951,1,1,0.5,0,2,1
0.47122,1,1,0.5,0,1,2
0.48158,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.68309,1,1,0.5,1,2,2
0.52388,1,1,0.5,1,1,1
0.48114,1,2,0.5,1,2,2
-Inf,NaN,2,0.5,0,1,NaN
0.58308,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,1,NaN
0.44952,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.44118,1,2,0.5,0,2,1
0.4546,1,2,0.5,0,2,1
0.61473,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,1,NaN
0.65328,1,2,0.5,1,1,1
0.6473,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
