Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,1,0,0
-1,-Inf,3,1,0,1
1,1.5,3,2,0,0
1,1.3621,1,2,0,0
1,1.4401,1,2,1,0
NaN,-Inf,1,2,0,0
1,1.1439,1,2,1,1
-1,-Inf,3,1,1,1
-1,-Inf,3,1,1,0
1,1.9817,1,1,0,1
1,1.0737,1,2,1,1
NaN,-Inf,3,2,0,0
1,1.0216,3,1,1,0
1,1.1256,1,2,0,1
0,1.1317,3,2,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,1,1,0,0
1,1.6113,3,1,1,0
0,1.7033,3,1,1,1
1,1.3451,3,2,0,1
NaN,-Inf,1,1,0,0
1,0.97718,3,2,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,2,0,0
1,1.1849,1,1,1,0
1,1.317,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
-1,-Inf,1,2,1,1
1,1.3047,1,1,0,1
1,1.2646,3,1,0,0
NaN,-Inf,3,1,0,0
1,1.2207,1,2,0,0
1,1.2267,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.3406,1,2,0,0
-1,-Inf,1,2,0,1
1,1.1126,1,1,1,0
1,1.6963,1,1,1,1
NaN,-Inf,1,2,0,0
1,1.2962,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
-1,-Inf,3,2,1,1
NaN,-Inf,3,1,1,0
0,0.00059704,3,1,1,0
0,1.178,3,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
1,1.3598,3,1,1,0
1,1.6033,3,2,1,0
1,1.4716,1,1,0,1
1,1.5177,1,2,1,1
NaN,-Inf,3,2,0,0
1,1.2475,1,2,0,0
-1,-Inf,3,1,1,1
1,1.0934,1,1,1,0
NaN,-Inf,1,1,1,0
1,1.1346,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
0,1.0174,3,2,0,1
-1,-Inf,1,1,1,1
1,0.9893,1,1,0,0
1,1.757,1,1,0,1
1,1.6544,3,2,0,1
NaN,-Inf,3,2,0,0
0,1.2489,3,1,0,0
1,1.467,1,1,1,0
-1,-Inf,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
1,1.3469,3,2,1,1
NaN,-Inf,1,2,0,0
1,1.1326,1,1,0,0
1,1.6445,3,2,1,0
NaN,-Inf,3,1,0,0
1,1.2763,1,1,1,0
-1,-Inf,1,2,0,1
NaN,-Inf,1,2,0,0
1,1.6663,3,1,0,1
-1,-Inf,3,1,0,0
NaN,-Inf,3,1,0,0
1,1.5843,1,2,1,1
1,1.7642,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,1.3381,3,1,0,0
-1,-Inf,1,2,1,1
1,1.186,1,2,0,1
1,1.0379,1,2,0,0
-1,-Inf,3,1,1,1
-1,-Inf,3,1,0,1
-1,-Inf,1,2,1,0
